// Made in NPC Maker by BowieD
GUID 49bcacdfd5f7414fb7ba6c686d200f39
Type Vendor
ID 40002
Selling 12
Selling_0_ID 490
Selling_0_Cost 1799
Selling_1_ID 16
Selling_1_Cost 399
Selling_2_ID 503
Selling_2_Cost 399
Selling_3_ID 1432
Selling_3_Cost 999
Selling_4_ID 43101
Selling_4_Cost 2999
Selling_5_ID 1199
Selling_5_Cost 599
Selling_6_ID 1475
Selling_6_Cost 1999
Selling_7_ID 1198
Selling_7_Cost 399
Selling_8_ID 141
Selling_8_Cost 59
Selling_9_ID 120
Selling_9_Cost 199
Selling_10_ID 137
Selling_10_Cost 299
Selling_11_ID 1030
Selling_11_Cost 399
Selling_12_ID 11771
Selling_12_Cost 23999
Selling_13_ID 11770
Selling_13_Cost 8999
Selling_14_ID 11772
Selling_14_Cost 12999
Selling_15_ID 11773
Selling_15_Cost 24999
Selling_16_ID 11780
Selling_16_Cost 16999
Selling_17_ID 11781
Selling_17_Cost 19999
Selling_18_ID 11782
Selling_18_Cost 25999
Selling_19_ID 11783
Selling_19_Cost 31999
Selling_20_ID 11784
Selling_20_Cost 38999
