// Made in NPC Maker by BowieD
GUID c962845e91304970b5919cc6551e0394
Type Vendor
ID 40013
Selling 32
Selling_0_ID 329
Selling_0_Cost 29
Selling_1_ID 335
Selling_1_Cost 29
Selling_2_ID 338
Selling_2_Cost 19
Selling_3_ID 340
Selling_3_Cost 39
Selling_4_ID 342
Selling_4_Cost 19
Selling_5_ID 344
Selling_5_Cost 19
Selling_6_ID 42121
Selling_6_Cost 19
Selling_7_ID 42125
Selling_7_Cost 19
Selling_8_ID 42127
Selling_8_Cost 19
Selling_9_ID 42123
Selling_9_Cost 19
Selling_10_ID 42184
Selling_10_Cost 39
Selling_11_ID 42180
Selling_11_Cost 39
Selling_12_ID 42183
Selling_12_Cost 39
Selling_13_ID 42286
Selling_13_Cost 19
Selling_14_ID 42289
Selling_14_Cost 29
Selling_15_ID 1104
Selling_15_Cost 19
Selling_16_ID 1105
Selling_16_Cost 19
Selling_17_ID 1106
Selling_17_Cost 19
Selling_18_ID 1107
Selling_18_Cost 19
Selling_19_ID 1108
Selling_19_Cost 19
Selling_20_ID 1109
Selling_20_Cost 19
Selling_21_ID 1110
Selling_21_Cost 19
Selling_22_ID 42105
Selling_22_Cost 19
Selling_23_ID 42107
Selling_23_Cost 19
Selling_24_ID 42113
Selling_24_Cost 19
Selling_25_ID 42212
Selling_25_Cost 19
Selling_26_ID 42214
Selling_26_Cost 19
Selling_27_ID 42216
Selling_27_Cost 19
Selling_28_ID 42260
Selling_28_Cost 19
Selling_29_ID 42210
Selling_29_Cost 19
Selling_30_ID 42101
Selling_30_Cost 19
Selling_31_ID 42232
Selling_31_Cost 19

Buying 37
Buying_0_ID 330
Buying_0_Cost 39
Buying_1_ID 336
Buying_1_Cost 39
Buying_2_ID 339
Buying_2_Cost 39
Buying_3_ID 341
Buying_3_Cost 39
Buying_4_ID 343
Buying_4_Cost 39
Buying_5_ID 345
Buying_5_Cost 99
Buying_6_ID 331
Buying_6_Cost 599
Buying_7_ID 332
Buying_7_Cost 149
Buying_8_ID 42137
Buying_8_Cost 129
Buying_9_ID 42138
Buying_9_Cost 129
Buying_10_ID 42139
Buying_10_Cost 129
Buying_11_ID 42140
Buying_11_Cost 129
Buying_12_ID 42185
Buying_12_Cost 799
Buying_13_ID 42181
Buying_13_Cost 799
Buying_14_ID 42183
Buying_14_Cost 799
Buying_15_ID 42287
Buying_15_Cost 129
Buying_16_ID 42236
Buying_16_Cost 129
Buying_17_ID 42290
Buying_17_Cost 499
Buying_18_ID 270
Buying_18_Cost 39
Buying_19_ID 271
Buying_19_Cost 39
Buying_20_ID 272
Buying_20_Cost 39
Buying_21_ID 115
Buying_21_Cost 39
Buying_22_ID 273
Buying_22_Cost 39
Buying_23_ID 274
Buying_23_Cost 39
Buying_24_ID 275
Buying_24_Cost 39
Buying_25_ID 42106
Buying_25_Cost 69
Buying_26_ID 42108
Buying_26_Cost 69
Buying_27_ID 42114
Buying_27_Cost 69
Buying_28_ID 42213
Buying_28_Cost 69
Buying_29_ID 42215
Buying_29_Cost 69
Buying_30_ID 42117
Buying_30_Cost 69
Buying_31_ID 42151
Buying_31_Cost 69
Buying_32_ID 42211
Buying_32_Cost 89
Buying_33_ID 42275
Buying_33_Cost 89
Buying_34_ID 42233
Buying_34_Cost 79
Buying_35_ID 42234
Buying_35_Cost 199
Buying_36_ID 41172
Buying_36_Cost 999
