// Made in NPC Maker by BowieD
GUID a827830698fe441d9ea15b4e5b107f89
Type Vendor
ID 40026
Selling 5
Selling_0_ID 41104
Selling_0_Cost 39
Selling_1_ID 41160
Selling_1_Cost 39
Selling_2_ID 41170
Selling_2_Cost 39
Selling_3_ID 41116
Selling_3_Cost 39
Selling_4_ID 41141
Selling_4_Cost 39

Buying 10
Buying_0_ID 41101
Buying_0_Cost 99
Buying_1_ID 1117
Buying_1_Cost 159
Buying_2_ID 1120
Buying_2_Cost 199
Buying_3_ID 41111
Buying_3_Cost 259
Buying_4_ID 41130
Buying_4_Cost 299
Buying_5_ID 514
Buying_5_Cost 299
Buying_6_ID 41148
Buying_6_Cost 259
Buying_7_ID 41113
Buying_7_Cost 79
Buying_8_ID 516
Buying_8_Cost 129
Buying_9_ID 49105
Buying_9_Cost 1290
