// Made in NPC Maker by BowieD
GUID 41343846405f492f8c795e1701fc6d1a
Type Vendor
ID 12115
Buying 11
Buying_0_ID 43109
Buying_0_Cost 69
Buying_1_ID 1349
Buying_1_Cost 69
Buying_2_ID 43107
Buying_2_Cost 99
Buying_3_ID 43132
Buying_3_Cost 99
Buying_4_ID 1347
Buying_4_Cost 99
Buying_5_ID 43117
Buying_5_Cost 139
Buying_6_ID 43130
Buying_6_Cost 139
Buying_7_ID 504
Buying_7_Cost 139
Buying_8_ID 43105
Buying_8_Cost 189
Buying_9_ID 505
Buying_9_Cost 189
Buying_10_ID 43115
Buying_10_Cost 599
Buying_11_ID 1351
Buying_11_Cost 599
Buying_12_ID 1434
Buying_12_Cost 3999
Buying_13_ID 43111
Buying_13_Cost 7
