// Made in NPC Maker by BowieD
GUID 02c7ddc734af4c109476095a6c88b6f1
Type Vendor
ID 40046
Selling 9
Selling_0_ID 36144
Selling_0_Cost 55000
Selling_1_ID 36145
Selling_1_Cost 60000
Selling_2_ID 36146
Selling_2_Cost 63500
Selling_3_ID 36147
Selling_3_Cost 70000
Selling_4_ID 36143
Selling_4_Cost 800
Selling_5_ID 35805
Selling_5_Cost 90000
Selling_6_ID 35800
Selling_6_Cost 450
Selling_7_ID 4744
Selling_7_Cost 150
Selling_8_ID 4738
Selling_8_Cost 150
Buying 2
Buying_0_ID 4739
Buying_0_Cost 500
Buying_1_ID 4736
Buying_1_Cost 500
