// Made in NPC Maker by BowieD
GUID a82852bcc520435591e39bc65a23940d
Type Vendor
ID 64414
Selling 9
Selling_0_ID 9800
Selling_0_Cost 1999
Selling_1_ID 9805
Selling_1_Cost 999
Selling_2_ID 9806
Selling_2_Cost 399
Selling_3_ID 9807
Selling_3_Cost 399
Selling_4_ID 9808
Selling_4_Cost 399
Selling_5_ID 15
Selling_5_Cost 159
Selling_6_ID 96
Selling_6_Cost 79
Selling_7_ID 269
Selling_7_Cost 139
Selling_8_ID 394
Selling_8_Cost 59
Selling_9_ID 1445
Selling_9_Cost 299
Selling_10_ID 1446
Selling_10_Cost 299
Selling_11_ID 15148
Selling_11_Cost 399
